Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
10-03-2011,Kill the Irishman,15.643,474,6.8,"['Action', 'Crime', 'Thriller', 'Drama']",Medium,2011
26-06-1982,The Last American Virgin,15.643,162,6.5,['Comedy'],Medium,1982
18-06-1986,Legal Eagles,15.641,164,6,"['Comedy', 'Crime', 'Romance', 'Thriller']",Medium,1986
27-06-2011,2012: Ice Age,15.632,228,4.4,"['Action', 'Adventure', 'ScienceFiction']",Low,2011
25-12-1993,Grumpy Old Men,15.632,481,6.6,['Comedy'],Medium,1993
17-06-1994,Wolf,15.632,685,6.1,"['Fantasy', 'Drama', 'Horror']",Medium,1994
18-06-1993,3 Ninjas Knuckle Up,15.625,153,5.2,"['Family', 'Adventure', 'Action', 'Comedy']",Medium,1993
10-12-1992,The Muppet Christmas Carol,15.625,680,7.4,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']",High,1992
29-03-2021,Bram Stoker's Van Helsing,15.623,60,5.9,['Horror'],Medium,2021
10-01-1975,The Count of Monte-Cristo,15.623,99,6.7,"['Adventure', 'Action', 'Drama', 'History', 'TVMovie']",Medium,1975
12-08-2021,Coming Home in the Dark,15.622,61,6,"['Thriller', 'Horror']",Medium,2021
18-10-2011,Pirates of the Caribbean: Tales of the Code – Wedlocked,15.622,49,6.9,"['Adventure', 'Action', 'Fantasy']",Medium,2011
24-04-2010,Gintama: The Movie,15.621,48,7.5,"['Action', 'Comedy', 'ScienceFiction', 'Animation']",High,2010
07-02-2008,Kung Fu Dunk,15.618,159,5.8,"['Action', 'Adventure', 'Comedy']",Medium,2008
31-12-2014,Manny,15.616,57,6.3,"['Documentary', 'Drama']",Medium,2014
01-03-2019,Doraemon: Nobita's Chronicle of the Moon Exploration,15.614,36,7.6,"['Animation', 'Adventure']",High,2019
14-02-2020,"Veinteañera, Divorciada y Fantástica",15.613,350,8.1,['Comedy'],High,2020
01-02-2018,The Little Witch,15.612,101,6.9,"['Family', 'Comedy', 'Drama']",Medium,2018
29-10-2004,Birth,15.609,482,5.9,"['Mystery', 'Drama', 'Romance']",Medium,2004
15-11-2018,At Eternity's Gate,15.608,1175,6.9,['Drama'],Medium,2018
14-07-1953,Gentlemen Prefer Blondes,15.606,651,7.3,"['Music', 'Comedy', 'Romance']",High,1953
21-07-2016,Mi Prima La Sexóloga,15.601,209,7,['Comedy'],Medium,2016
23-09-2005,Oliver Twist,15.6,981,6.7,"['Crime', 'Drama', 'Family']",Medium,2005
17-01-1986,Iron Eagle,15.598,215,5.4,['Action'],Medium,1986
27-02-2009,Echelon Conspiracy,15.597,354,6.3,"['Action', 'Thriller']",Medium,2009
